ID,Date,Time,MIN,Latitude,Longitude,Event Type,Sector Name,Threat Level,Clear,Clear Date,Clear Time,Sign-off Name,Comments
2183146,12/14/2021,5:29:00,80,37.47534864,-122.1504756,"
STROBE LIGHT  Test DDSA ",Zone 1,Red,TRUE,"('12/14/2021',)","('05:35:01',)",krobinson@digbysecurity.com,Clear Alert Test DDSA
2183861,12/15/2021,6:59:00,80,37.47498725,-122.150625,Log-on Test DDSA,Zone 1,Red,TRUE,"('12/15/2021',)","('07:03:10',)",watchcommander@digbysecurity.com,Clearing this Test Alert
2183863,12/15/2021,7:04:00,80,37.47486374,-122.149949,Email Alert Test DDSA,Zone 1,Red,TRUE,"('12/15/2021',)","('07:07:38',)",watchcommander@digbysecurity.com,Cleared Alert
2183884,12/15/2021,8:53:00,80,37.47494858,-122.1504105,Broadcast Test DDSA,Zone 1,Red,TRUE,"('12/15/2021',)","('08:55:34',)",watchcommander@digbysecurity.com,Test Completed DDSA
2183916,12/15/2021,11:12:00,80,37.47507697,-122.1506891,DDSA TEST ALERT 1,Zone 1,Red,TRUE,"('12/15/2021',)","('11:33:02',)",watchcommander@digbysecurity.com,i got aleart -DDSA9137
2183918,12/15/2021,11:13:00,80,37.47491362,-122.1501861,DDSA TEST ALERT 2,Zone 1,Red,TRUE,"('12/15/2021',)","('11:34:05',)",watchcommander@digbysecurity.com,acknowledge -DDSA9020
2183920,12/15/2021,11:16:00,80,37.4749383,-122.150338,DDSA  TEST ALERT 3,Zone 1,Red,TRUE,"('12/15/2021',)","('11:43:46',)",watchcommander@digbysecurity.com,DDSA9020
2183921,12/15/2021,11:17:00,80,37.47524864,-122.1506124,DDDA TEST ALERT 4,Zone 1,Red,TRUE,"('12/15/2021',)","('11:22:00',)",watchcommander@digbysecurity.com,yes we are getting  alert
2183930,12/15/2021,11:35:00,80,37.4749348,-122.1503029,DDSA TEST ALERT 5,Zone 1,Red,TRUE,"('12/15/2021',)","('12:30:50',)",watchcommander@digbysecurity.com,cleared ddsa9177
2183933,12/15/2021,11:42:00,80,37.47536927,-122.1503834,DDSA TEST ALERT 6,Zone 1,Red,TRUE,"('12/15/2021',)","('12:30:50',)",watchcommander@digbysecurity.com,cleared ddsa9177
2183938,12/15/2021,12:01:00,80,37.4753701,-122.1504139,DDSA PHONE TEST1,Zone 1,Red,TRUE,"('12/15/2021',)","('12:30:13',)",watchcommander@digbysecurity.com,ddsa 9044
2183942,12/15/2021,12:14:00,80,37.47537377,-122.1504451,DDSA PHONE TEST 2,Zone 1,Red,TRUE,"('12/15/2021',)","('12:26:56',)",watchcommander@digbysecurity.com,ALL CLEAR DDSA-9137
2183946,12/15/2021,12:24:00,80,37.47486715,-122.1499678,DDSA PHONE TEST 3,Zone 1,Red,TRUE,"('12/15/2021',)","('12:26:56',)",watchcommander@digbysecurity.com,ALL CLEAR DDSA-9137
2183948,12/15/2021,12:38:00,80,37.4753499,-122.1504752,DDSA TEST ALERT 7,Zone 1,Red,TRUE,"('12/15/2021',)","('13:00:39',)",watchcommander@digbysecurity.com,CLEARED DDSA9117
2183949,12/15/2021,12:39:00,80,37.4753499,-122.1504752,DDSA TEST ALERT 8,Zone 1,Red,TRUE,"('12/15/2021',)","('13:00:39',)",watchcommander@digbysecurity.com,CLEARED DDSA9117
2185090,12/17/2021,12:13:00,80,37.47496562,-122.1505322,DDSA TEST ALERT 9,Zone 1,Red,TRUE,"('12/17/2021',)","('12:52:40',)",watchcommander@digbysecurity.com,DDSAOKE
2185091,12/17/2021,12:15:00,80,37.47496562,-122.1505322,DDSA TEST ALERT 10,Zone 1,Red,TRUE,"('12/17/2021',)","('12:49:39',)",watchcommander@digbysecurity.com,cleared DDSA111
2185104,12/17/2021,13:01:00,80,37.47486033,-122.1499364,TEST ALERT,Zone 1,Red,TRUE,"('12/17/2021',)","('13:02:12',)",watchcommander@digbysecurity.com,DDSAOKE
2185113,12/17/2021,13:39:00,80,37.47534884,-122.1504746,TES ALERT,Zone 1,Red,TRUE,"('12/17/2021',)","('13:41:12',)",watchcommander@digbysecurity.com,DDSAOKE
2186533,12/19/2021,20:48:00,80,37.47535037,-122.1504738,Test Alert,Zone 1,Red,TRUE,"('12/20/2021',)","('01:42:01',)",watchcommander@digbysecurity.com,All clear ddsa 7732
